agent,t,sigma,wager,m_over_b
1,5,0.8087354890123547,0.8661148423086482,0.8661148423086482
1,6,0.777039598930657,0.8439277192514598,0.8439277192514598
1,7,0.8084351510217452,0.8659046057152215,0.8659046057152215
1,8,0.802859001144657,0.8620013008012599,0.8620013008012599
1,9,0.824941926558071,0.8774593485906497,0.8774593485906497
1,10,0.8213385361032052,0.8749369752722436,0.8749369752722436
1,11,0.7998487824126133,0.8598941476888293,0.8598941476888293
1,12,0.8267831059158031,0.8787481741410621,0.8787481741410621
1,13,0.8380963471592221,0.8866674430114554,0.8866674430114554
1,14,0.8065900682192366,0.8646130477534655,0.8646130477534655
1,15,0.8204405847774945,0.8743084093442461,0.8743084093442461
1,16,0.830437642306086,0.8813063496142601,0.8813063496142601
1,17,0.8441090642683892,0.8908763449878723,0.8908763449878723
1,18,0.8070525829405404,0.8649368080583781,0.8649368080583781
1,19,0.8107956482511821,0.8675569537758274,0.8675569537758274
1,20,0.8259982344754161,0.8781987641327913,0.8781987641327913
1,21,0.7583477986070261,0.8308434590249183,0.8308434590249183
1,22,0.7616383078170569,0.8331468154719397,0.8331468154719397
1,23,0.7838586710665519,0.8487010697465862,0.8487010697465862
1,24,0.7996709842700146,0.8597696889890101,0.8597696889890101
1,25,0.8263436605650366,0.8784405623955256,0.8784405623955256
1,26,0.815089426769188,0.8705625987384316,0.8705625987384316
1,27,0.8312833698315922,0.8818983588821145,0.8818983588821145
1,28,0.8443352075410123,0.8910346452787086,0.8910346452787086
1,29,0.8155225410056032,0.8708657787039222,0.8708657787039222
1,30,0.777409747996455,0.8441868235975185,0.8441868235975185
1,31,0.7972349456809953,0.8580644619766966,0.8580644619766966
1,32,0.7625559507594336,0.8337891655316034,0.8337891655316034
1,33,0.7292809111277192,0.8104966377894034,0.8104966377894034
1,34,0.7134946963418739,0.7994462874393117,0.7994462874393117
1,35,0.741792172984263,0.8192545210889841,0.8192545210889841
1,36,0.7604692933129081,0.8323285053190357,0.8323285053190357
