t,method,crps
515,raja_history_free,0.016589
515,vitali_ogd_per_quantile,0.016023
515,mechanism,0.016482
516,uniform,0.016606
516,raja_history_free,0.016626
516,vitali_ogd_per_quantile,0.015914
516,mechanism,0.016454
517,uniform,0.016637
517,raja_history_free,0.016657
517,vitali_ogd_per_quantile,0.015876
517,mechanism,0.016477
518,uniform,0.01646
518,raja_history_free,0.01648
518,vitali_ogd_per_quantile,0.015629
518,mechanism,0.016306
519,uniform,0.016423
519,raja_history_free,0.016442
519,vitali_ogd_per_quantile,0.015609
519,mechanism,0.016279
520,uniform,0.016343
520,raja_history_free,0.016362
520,vitali_ogd_per_quantile,0.015548
520,mechanism,0.016209
521,uniform,0.016323
521,raja_history_free,0.016341
521,vitali_ogd_per_quantile,0.01554
521,mechanism,0.01619
522,uniform,0.016197
522,raja_history_free,0.016214
522,vitali_ogd_per_quantile,0.015267
522,mechanism,0.01606
523,uniform,0.016
523,raja_history_free,0.016016
523,vitali_ogd_per_quantile,0.015101
523,mechanism,0.015862
524,uniform,0.016014
524,raja_history_free,0.01603
524,vitali_ogd_per_quantile,0.015051
524,mechanism,0.015875
525,uniform,0.016003
525,raja_history_free,0.016019
525,vitali_ogd_per_quantile,0.015046
525,mechanism,0.015865
526,uniform,0.015486
526,raja_history_free,0.015502
526,vitali_ogd_per_quantile,0.014545
526,mechanism,0.015347
527,uniform,0.015458
527,raja_history_free,0.015473
527,vitali_ogd_per_quantile,0.01453
527,mechanism,0.01532
528,uniform,0.015479
528,raja_history_free,0.015493
528,vitali_ogd_per_quantile,0.014572
528,mechanism,0.015347
529,uniform,0.015252
529,raja_history_free,0.015263
529,vitali_ogd_per_quantile,0.014433
529,mechanism,0.015133
530,uniform,0.01521
530,raja_history_free,0.015216
530,vitali_ogd_per_quantile,0.014396
530,mechanism,0.015115
531,uniform,0.01536
531,raja_history_free,0.015362
531,vitali_ogd_per_quantile,0.01441
531,mechanism,0.015243
532,uniform,0.015396
532,raja_history_free,0.015393
532,vitali_ogd_per_quantile,0.01435
532,mechanism,0.015259
533,uniform,0.015544
533,raja_history_free,0.015535
533,vitali_ogd_per_quantile,0.014411
533,mechanism,0.01538
534,uniform,0.015467
534,raja_history_free,0.015455
534,vitali_ogd_per_quantile,0.014353
534,mechanism,0.015291
535,uniform,0.015511
535,raja_history_free,0.015496
535,vitali_ogd_per_quantile,0.014309
535,mechanism,0.015321
536,uniform,0.015185
536,raja_history_free,0.015169
536,vitali_ogd_per_quantile,0.013942
536,mechanism,0.014989
537,uniform,0.01512
537,raja_history_free,0.015105
537,vitali_ogd_per_quantile,0.013943
537,mechanism,0.014923
538,uniform,0.015136
538,raja_history_free,0.015119
538,vitali_ogd_per_quantile,0.013891
538,mechanism,0.014937
539,uniform,0.015052
539,raja_history_free,0.015032
